Time (EET),Open,High,Low,Close,Volume 
2024.12.19 11:00:00,101655,101882.6,101551.1,101819.3,0.01789
2024.12.19 12:00:00,101821.8,102610.2,101741.8,102451.5,0.02205
2024.12.19 13:00:00,102431.8,102511.2,102203.4,102435.6,0.01984
2024.12.19 14:00:00,102450.3,102564.6,101885.6,101987.5,0.02177
2024.12.19 15:00:00,101984.6,102219.6,101667.1,101962.3,0.02527
2024.12.19 16:00:00,101961.3,102806.8,100757.7,100950.4,0.03322
2024.12.19 17:00:00,100947.2,101069.3,99481.2,100655.6,0.04525
2024.12.19 18:00:00,100639.8,101174.9,99839.3,100710.7,0.04143
2024.12.19 19:00:00,100691.1,100713,97404.6,98777.2,0.04405
2024.12.19 20:00:00,98771.2,98877.8,96834.7,98872.8,0.05391
2024.12.19 21:00:00,98852.3,98993.3,96191.2,97137.4,0.04479
2024.12.19 22:00:00,97138.7,97209.4,95593.2,96310.2,0.04977
2024.12.19 23:00:00,96301.2,97974.4,95758.8,97366.8,0.04341
2024.12.20 00:00:00,97348.1,98347.5,97176.9,98324,0.03173
2024.12.20 01:00:00,98320.3,98320.3,97408.3,97414.6,0.03268
2024.12.20 02:00:00,97413.8,97774.7,96593,97193,0.03867
2024.12.20 03:00:00,97193.6,97466.2,96099.3,96246.4,0.03685
2024.12.20 04:00:00,96252.7,97636.5,95901.6,97551.5,0.03374
2024.12.20 05:00:00,97558.8,97729.1,96919.9,97062.1,0.02882
2024.12.20 06:00:00,97062.2,97784.9,96805.2,97254.1,0.02803
2024.12.20 07:00:00,97267.4,97433.7,96627.4,96683.8,0.02758
2024.12.20 08:00:00,96680.9,97254.1,96360.1,97206.3,0.02798
2024.12.20 09:00:00,97209.5,98164.3,97206.8,97751.7,0.02818
2024.12.20 10:00:00,97750.3,97792.5,95238.7,95396.3,0.03383
2024.12.20 11:00:00,95393.8,95628.2,94624.6,94720.7,0.03131
2024.12.20 12:00:00,94719.6,94976,93945.4,94265.4,0.0339
2024.12.20 13:00:00,94270.7,94535.9,92561.5,92608.7,0.03655
2024.12.20 14:00:00,92610.8,94169.6,92186.2,93847.4,0.03451
2024.12.20 15:00:00,93847,95724.8,93539.1,95146.2,0.03385
2024.12.20 16:00:00,95148.2,96126.8,94712.1,95579.1,0.03431
2024.12.20 17:00:00,95592.4,97517.8,95583.6,96962.5,0.03435
2024.12.20 18:00:00,96960.3,97677.4,96312.5,96730.9,0.03306
2024.12.20 19:00:00,96733,97368.2,96441.8,97229.7,0.03119
2024.12.20 20:00:00,97234.3,97315.8,96623.5,96998.9,0.03293
2024.12.20 21:00:00,96987.8,97765.8,96870.2,97124.2,0.03134
2024.12.20 22:00:00,97120.4,97232.1,96418.3,96418.3,0.03193
2024.12.20 23:00:00,96418.3,96653.9,95435.1,96619.8,0.04523
2024.12.21 00:00:00,96616.4,97525.3,96445.1,97478.7,0.03258
2024.12.21 01:00:00,97473.1,97842,97395,97830.1,0.02566
2024.12.21 02:00:00,97827.9,97855.1,97224.9,97548.5,0.03086
2024.12.21 03:00:00,97541.8,97700.8,97228.1,97371.6,0.02913
2024.12.21 04:00:00,97362,97644.2,97208.7,97416,0.02575
2024.12.21 05:00:00,97416.1,97507.8,97252.4,97507.2,0.02147
2024.12.21 06:00:00,97503.5,97651.6,97386.8,97587.7,0.01707
2024.12.21 07:00:00,97580.7,98706.8,97537.4,98706.8,0.02145
2024.12.21 08:00:00,98699,98847.3,98341.5,98739.9,0.02077
2024.12.21 09:00:00,98732.8,99645.1,98494.7,99053.7,0.01966
2024.12.21 10:00:00,99053.7,99216.2,98494.5,98683.6,0.01612
2024.12.21 11:00:00,98683.7,98718.6,98325,98599.7,0.01557
2024.12.21 12:00:00,98595.8,98690,98072.5,98160.1,0.01576
2024.12.21 13:00:00,98162.2,98441.8,97821.1,98294.7,0.01855
2024.12.21 14:00:00,98294.7,98325.1,97137.9,97168.2,0.02712
2024.12.21 15:00:00,97168.3,97528.7,96433.1,97361.6,0.03593
2024.12.21 16:00:00,97361.6,97783.8,97095.1,97115.7,0.03116
2024.12.21 17:00:00,97115.7,97746.7,97082.6,97552.5,0.02727
2024.12.21 18:00:00,97552.6,97739.1,96979.9,97316.3,0.03612
2024.12.21 19:00:00,97310.6,97728.3,97065.1,97625.9,0.03591
2024.12.21 20:00:00,97612.8,97753.4,97318.1,97433.1,0.03297
2024.12.21 21:00:00,97433.1,97463.3,96836.3,97283,0.0364
2024.12.21 22:00:00,97284.3,98063,97230.4,97484.5,0.03216
2024.12.21 23:00:00,97484.7,97612.7,96569.7,96910,0.03316
2024.12.22 00:00:00,96893.9,97394.6,96609.6,97149.4,0.02499
2024.12.22 01:00:00,97140.1,97324.2,96901.4,97295.2,0.02686
2024.12.22 02:00:00,97295.2,97453.1,97050.1,97246.9,0.03008
2024.12.22 03:00:00,97244.4,97435.7,96722.1,97055.1,0.0288
2024.12.22 04:00:00,97055.1,97244.9,96611.8,96726.4,0.02591
2024.12.22 05:00:00,96727.8,97309.5,96565.1,96992.7,0.02709
2024.12.22 06:00:00,96993.1,97085.9,96065.1,96072,0.0194
2024.12.22 07:00:00,96080.8,96411.7,95890.7,96153.4,0.02044
2024.12.22 08:00:00,96155.5,96747.3,96115.1,96740.9,0.01196
2024.12.22 09:00:00,96747.3,96845.1,96075.3,96201.5,0.01418
2024.12.22 10:00:00,96211.2,96681.4,96192.3,96522.6,0.01434
2024.12.22 11:00:00,96524.4,97234.4,96319.2,96935.6,0.0151
2024.12.22 12:00:00,96926.8,97341.6,96842.3,96987.3,0.01576
2024.12.22 13:00:00,96988.9,97334.8,96956.1,97093.9,0.01952
2024.12.22 14:00:00,97093.6,97288.9,96824.9,96982.1,0.01746
2024.12.22 15:00:00,96982.1,97252.3,96835.1,96974.1,0.02335
2024.12.22 16:00:00,96974.5,97051.9,95288.3,95346.8,0.04081
2024.12.22 17:00:00,95359.2,95651.1,95126.7,95358.7,0.03893
2024.12.22 18:00:00,95358.7,95868.6,95181.1,95650,0.03045
2024.12.22 19:00:00,95650,95860.4,95455.5,95620.8,0.01495
2024.12.22 20:00:00,95627.5,96436.4,95385.5,95944.3,0.02819
2024.12.22 21:00:00,95944.3,96146.5,94671.8,94817.7,0.03984
2024.12.22 22:00:00,94817.7,95587.6,94383.3,95552.6,0.04303
2024.12.22 23:00:00,95552.6,95711.5,95052.1,95169,0.03812
2024.12.23 00:00:00,95160.5,95583.3,94248.1,95504.5,0.03881
2024.12.23 01:00:00,95504.5,95738.3,94991.1,95138,0.04072
2024.12.23 02:00:00,95133.9,95372.8,94319,94360.8,0.02883
2024.12.23 03:00:00,94360.5,95100.3,93743.5,94425.2,0.03195
2024.12.23 04:00:00,94421.3,94703,93685.4,94653.2,0.0318
2024.12.23 05:00:00,94653,95959.7,94551.6,95947.8,0.02692
2024.12.23 06:00:00,95949,96450.4,95607.9,95794,0.02452
2024.12.23 07:00:00,95795.5,95923.7,95312.3,95564.4,0.02232
2024.12.23 08:00:00,95562.1,95613.3,94677.6,94792.5,0.02346
2024.12.23 09:00:00,94800.2,95523.9,94787.9,95357.3,0.02132
2024.12.23 10:00:00,95354.3,95520.8,95006.3,95479.4,0.02198
2024.12.23 11:00:00,95482.6,96099.4,95465.3,95963.8,0.02148
2024.12.23 12:00:00,95962.1,96371.8,95923,96333.3,0.01986
2024.12.23 13:00:00,96320.5,96524,95778.9,95855.3,0.02008
2024.12.23 14:00:00,95859.4,96340.6,95797.1,96233.3,0.02063
2024.12.23 15:00:00,96228.3,96273.7,94797.6,94857.1,0.02611
2024.12.23 16:00:00,94863.2,95537.7,93638.8,94307.1,0.03246
2024.12.23 17:00:00,94309.4,94341.7,93034.1,93164.9,0.0334
2024.12.23 18:00:00,93161,94157.1,92852.3,93907,0.03487
2024.12.23 19:00:00,93894.7,94030.5,93154.3,93309,0.03397
2024.12.23 20:00:00,93309.3,93659.6,92614.1,92667.7,0.03198
